"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the pre-upgrade-check action runs successfully.","2319","test_pre_upgrade_check","tests.integration","Tue Aug 05 01:47:38 UTC 2025","passed","Tue Aug 05 01:47:40 UTC 2025","","test_upgrade_from_stable","",""
"Build and deploy pgbouncer charm.","1044010","test_build_and_deploy","tests.integration","Tue Aug 05 01:32:43 UTC 2025","passed","Tue Aug 05 01:50:07 UTC 2025","","test_tls","",""
"Check these relations all work when scaling pgbouncer.","157407","test_scaling","tests.integration.relations.pgbouncer_provider","Tue Aug 05 02:00:17 UTC 2025","passed","Tue Aug 05 02:02:54 UTC 2025","","test_pgbouncer_provider","",""
"","172369","test_pgbouncer_stable_when_deleting_postgres","tests.integration.relations","Tue Aug 05 01:59:54 UTC 2025","passed","Tue Aug 05 02:02:46 UTC 2025","","test_backend_database","",""
"","1249222","test_create_db_admin_legacy_relation","tests.integration.relations","Tue Aug 05 01:33:35 UTC 2025","passed","Tue Aug 05 01:54:25 UTC 2025","","test_db_admin","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","902034","test_deploy_latest","tests.integration","Tue Aug 05 01:32:57 UTC 2025","passed","Tue Aug 05 01:47:59 UTC 2025","","test_upgrade","",""
"Test that an application can request additional databases using the same interface.","65150","test_an_application_can_request_multiple_databases","tests.integration.relations.pgbouncer_provider","Tue Aug 05 01:52:04 UTC 2025","passed","Tue Aug 05 01:53:09 UTC 2025","","test_pgbouncer_provider","",""
"Test that the charm can be related to the data integrator without extra user roles.","97641","test_relation_with_data_integrator","tests.integration.relations.pgbouncer_provider","Tue Aug 05 02:03:45 UTC 2025","passed","Tue Aug 05 02:05:23 UTC 2025","","test_pgbouncer_provider","",""
"","230068","test_upgrade_from_stable","tests.integration","Tue Aug 05 01:47:40 UTC 2025","passed","Tue Aug 05 01:51:30 UTC 2025","","test_upgrade_from_stable","",""
"Test that the pgbouncer and postgres charms can relate to one another.","1137533","test_scaled_relations","tests.integration.relations","Tue Aug 05 01:34:02 UTC 2025","passed","Tue Aug 05 01:53:00 UTC 2025","","test_peers","",""
"Test that we can exit relations with multiple units without breaking anything.","82298","test_exit_relations","tests.integration.relations","Tue Aug 05 01:54:27 UTC 2025","passed","Tue Aug 05 01:55:50 UTC 2025","","test_peers","",""
"Test basic functionality of database relation interface.","877330","test_database_relation_with_charm_libraries","tests.integration.relations.pgbouncer_provider","Tue Aug 05 01:32:54 UTC 2025","passed","Tue Aug 05 01:47:32 UTC 2025","","test_pgbouncer_provider","",""
"Check we can't write in readonly.","1018","test_cant_write_in_readonly","tests.integration.relations.pgbouncer_provider","Tue Aug 05 01:47:35 UTC 2025","passed","Tue Aug 05 01:47:36 UTC 2025","","test_pgbouncer_provider","",""
"Test updating from stable channel.","194175","test_upgrade_from_stable","tests.integration","Tue Aug 05 01:47:34 UTC 2025","passed","Tue Aug 05 01:50:48 UTC 2025","","test_upgrade_data_integrator","",""
"Rejoins the TLS relation and check through the test app the it is on.

    Args:
        ops_test: The ops test framework
    ","33707","test_add_tls","tests.integration","Tue Aug 05 01:53:24 UTC 2025","passed","Tue Aug 05 01:53:58 UTC 2025","","test_tls","",""
"Test that the pre-upgrade-check action runs successfully.","2331","test_pre_upgrade_check","tests.integration","Tue Aug 05 01:47:59 UTC 2025","passed","Tue Aug 05 01:48:01 UTC 2025","","test_upgrade","",""
"","292336","test_multiple_pgb_can_connect_to_one_backend","tests.integration.relations.pgbouncer_provider","Tue Aug 05 01:55:24 UTC 2025","passed","Tue Aug 05 02:00:17 UTC 2025","","test_pgbouncer_provider","",""
"Tests deploying and relating to the Indico charm.","279159","test_indico_datatabase","tests.integration.relations.pgbouncer_provider","Tue Aug 05 02:05:23 UTC 2025","passed","Tue Aug 05 02:10:02 UTC 2025","","test_pgbouncer_provider","",""
"Test updating charm config updates pgbouncer config & relation data.","22392","test_config_updates","tests.integration","Tue Aug 05 01:34:17 UTC 2025","passed","Tue Aug 05 01:34:39 UTC 2025","","test_charm","",""
