"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 01:34:14 UTC 2024","Wed Mar 27 01:34:16 UTC 2024","2037","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_database_admin_permissions","Test admin permissions."
"passed","Wed Mar 27 01:29:32 UTC 2024","Wed Mar 27 01:48:45 UTC 2024","1152891","tests.integration","test_tls","","","","test_build_and_deploy","Build and deploy pgbouncer charm."
"passed","Wed Mar 27 01:29:15 UTC 2024","Wed Mar 27 01:34:10 UTC 2024","294314","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_database_relation_with_charm_libraries","Test basic functionality of database relation interface."
"passed","Wed Mar 27 01:34:13 UTC 2024","Wed Mar 27 01:34:14 UTC 2024","1019","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_cant_write_in_readonly","Check we can't write in readonly."
"passed","Wed Mar 27 01:34:16 UTC 2024","Wed Mar 27 01:35:32 UTC 2024","76153","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"passed","Wed Mar 27 01:55:05 UTC 2024","Wed Mar 27 01:57:49 UTC 2024","164196","tests.integration","test_tls","","","","test_mattermost_db","Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PgBouncer to correctly connect to it.

    Args:
        ops_test: The ops test framework
    "
"passed","Wed Mar 27 01:38:48 UTC 2024","Wed Mar 27 01:40:28 UTC 2024","99934","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_legacy_relation_compatibility",""
"passed","Wed Mar 27 01:29:40 UTC 2024","Wed Mar 27 01:35:55 UTC 2024","374899","tests.integration.relations","test_backend_database","","","","test_relate_pgbouncer_to_postgres","Test that the pgbouncer and postgres charms can relate to one another."
"passed","Wed Mar 27 01:51:53 UTC 2024","Wed Mar 27 01:53:11 UTC 2024","78579","tests.integration","test_tls","","","","test_scale_down_pgb","Scale down PGB while TLS is enabled.

    Args:
        ops_test: The ops test framework
    "
"passed","Wed Mar 27 01:34:12 UTC 2024","Wed Mar 27 01:34:13 UTC 2024","1021","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_readonly_reads","Check we can read things in readonly."
"passed","Wed Mar 27 01:53:11 UTC 2024","Wed Mar 27 01:53:48 UTC 2024","36507","tests.integration","test_tls","","","","test_remove_tls","Removes the TLS relation and check through the test app the it is off.

    Args:
        ops_test: The ops test framework
    "
"passed","Wed Mar 27 01:29:22 UTC 2024","Wed Mar 27 01:31:03 UTC 2024","101066","tests.integration.relations","test_peers","","","","test_deploy_at_scale",""
"passed","Wed Mar 27 01:35:49 UTC 2024","Wed Mar 27 01:35:51 UTC 2024","2178","tests.integration","test_upgrade_from_stable","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Wed Mar 27 01:50:04 UTC 2024","Wed Mar 27 01:50:48 UTC 2024","43722","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_connection_is_possible_after_pod_deletion","Tests that the connection is possible after the pod is deleted."
"passed","Wed Mar 27 01:34:11 UTC 2024","Wed Mar 27 01:34:12 UTC 2024","1189","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_database_version","Check version is accurate."
"passed","Wed Mar 27 01:30:46 UTC 2024","Wed Mar 27 01:31:09 UTC 2024","22954","tests.integration","test_charm","","","","test_config_updates","Test updating charm config updates pgbouncer config & relation data."
"passed","Wed Mar 27 01:31:03 UTC 2024","Wed Mar 27 01:37:20 UTC 2024","376434","tests.integration.relations","test_peers","","","","test_scaled_relations","Test that the pgbouncer and postgres charms can relate to one another."
"passed","Wed Mar 27 01:29:35 UTC 2024","Wed Mar 27 01:35:12 UTC 2024","336510","tests.integration","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Wed Mar 27 01:31:09 UTC 2024","Wed Mar 27 01:31:10 UTC 2024","553","tests.integration","test_charm","","","","test_multiple_pebble_services","Test we have the correct pebble services."
"passed","Wed Mar 27 01:48:45 UTC 2024","Wed Mar 27 01:51:53 UTC 2024","187620","tests.integration","test_tls","","","","test_scale_up_pgb","Scale up PGB while TLS is enabled.

    Args:
        ops_test: The ops test framework
    "
"passed","Wed Mar 27 01:47:10 UTC 2024","Wed Mar 27 01:50:04 UTC 2024","174377","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_indico_datatabase","Tests deploying and relating to the Indico charm."
"passed","Wed Mar 27 01:46:13 UTC 2024","Wed Mar 27 01:47:10 UTC 2024","57133","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_relation_with_data_integrator","Test that the charm can be related to the data integrator without extra user roles."
"passed","Wed Mar 27 01:38:21 UTC 2024","Wed Mar 27 01:38:48 UTC 2024","27749","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_an_application_can_request_multiple_databases","Test that an application can request additional databases using the same interface."
"passed","Wed Mar 27 01:34:10 UTC 2024","Wed Mar 27 01:34:11 UTC 2024","1019","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_database_usage","Check we can update and delete things."
"passed","Wed Mar 27 01:45:47 UTC 2024","Wed Mar 27 01:46:13 UTC 2024","26337","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_relation_broken","Test that the user is removed when the relation is broken."
"passed","Wed Mar 27 01:42:43 UTC 2024","Wed Mar 27 01:45:47 UTC 2024","183400","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_scaling","Check these relations all work when scaling pgbouncer."
"skipped","Wed Mar 27 01:29:36 UTC 2024","Wed Mar 27 01:29:36 UTC 2024","0","tests.integration.relations","test_db","","","","test_relation_with_openldap","Test the relation with OpenLDAP charm."
"passed","Wed Mar 27 01:35:51 UTC 2024","Wed Mar 27 01:39:59 UTC 2024","248467","tests.integration","test_upgrade_from_stable","","","","test_upgrade_from_stable",""
"passed","Wed Mar 27 01:40:28 UTC 2024","Wed Mar 27 01:42:43 UTC 2024","134794","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_multiple_pgb_can_connect_to_one_backend",""
"passed","Wed Mar 27 01:29:41 UTC 2024","Wed Mar 27 01:30:46 UTC 2024","65304","tests.integration","test_charm","","","","test_build_and_deploy","Build and deploy pgbouncer charm."
"passed","Wed Mar 27 01:37:20 UTC 2024","Wed Mar 27 01:38:50 UTC 2024","90733","tests.integration.relations","test_peers","","","","test_scaling","Test data is replicated to new units after a scale up."
