"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the expose-external config option.","225049","test_expose_external","tests.integration","Sat Apr 19 01:44:39 UTC 2025","passed","Sat Apr 19 01:48:24 UTC 2025","","test_expose_external","",""
"Test that we can exit relations with multiple units without breaking anything.","62865","test_exit_relations","tests.integration.relations","Sat Apr 19 01:53:50 UTC 2025","passed","Sat Apr 19 01:54:53 UTC 2025","","test_peers","",""
"Rejoins the TLS relation and check through the test app the it is on.

    Args:
        ops_test: The ops test framework
    ","33156","test_add_tls","tests.integration","Sat Apr 19 01:55:42 UTC 2025","passed","Sat Apr 19 01:56:15 UTC 2025","","test_tls","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","142430","test_config_parameters","tests.integration","Sat Apr 19 01:41:01 UTC 2025","passed","Sat Apr 19 01:43:23 UTC 2025","","test_config","",""
"Test that the user is removed when the relation is broken.","33891","test_relation_broken","tests.integration.relations.pgbouncer_provider","Sat Apr 19 02:00:31 UTC 2025","passed","Sat Apr 19 02:01:05 UTC 2025","","test_pgbouncer_provider","",""
"Test updating from stable channel.","158217","test_upgrade_from_stable","tests.integration","Sat Apr 19 01:51:30 UTC 2025","passed","Sat Apr 19 01:54:08 UTC 2025","","test_upgrade_data_integrator","",""
"Test admin permissions.","2036","test_database_admin_permissions","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:50:16 UTC 2025","passed","Sat Apr 19 01:50:18 UTC 2025","","test_pgbouncer_provider","",""
"Check we can't write in readonly.","1019","test_cant_write_in_readonly","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:50:14 UTC 2025","passed","Sat Apr 19 01:50:16 UTC 2025","","test_pgbouncer_provider","",""
"Check we can update and delete things.","1019","test_database_usage","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:50:11 UTC 2025","passed","Sat Apr 19 01:50:12 UTC 2025","","test_pgbouncer_provider","",""
"Removes the TLS relation and check through the test app the it is off.

    Args:
        ops_test: The ops test framework
    ","25969","test_remove_tls","tests.integration","Sat Apr 19 01:55:16 UTC 2025","passed","Sat Apr 19 01:55:42 UTC 2025","","test_tls","",""
"Test the deployment of the charm.","142342","test_trust","tests.integration","Sat Apr 19 01:45:36 UTC 2025","passed","Sat Apr 19 01:47:58 UTC 2025","","test_trust","",""
"Tests that the connection is possible after the pod is deleted.","113611","test_connection_is_possible_after_pod_deletion","tests.integration.relations.pgbouncer_provider","Sat Apr 19 02:06:00 UTC 2025","passed","Sat Apr 19 02:07:54 UTC 2025","","test_pgbouncer_provider","",""
"","209732","test_upgrade_from_edge","tests.integration","Sat Apr 19 01:52:15 UTC 2025","passed","Sat Apr 19 01:55:44 UTC 2025","","test_upgrade","",""
"Test that there is a read-only endpoint in a standalone cluster.","93432","test_no_read_only_endpoint_in_standalone_cluster","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:50:18 UTC 2025","passed","Sat Apr 19 01:51:51 UTC 2025","","test_pgbouncer_provider","",""
"Test that the pgbouncer and postgres charms can relate to one another.","572813","test_create_db_legacy_relation","tests.integration.relations","Sat Apr 19 01:41:25 UTC 2025","passed","Sat Apr 19 01:50:57 UTC 2025","","test_db","",""
"Check version is accurate.","1171","test_database_version","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:50:12 UTC 2025","passed","Sat Apr 19 01:50:13 UTC 2025","","test_pgbouncer_provider","",""
"Test that two different applications connect to the database with different credentials.","57434","test_each_relation_has_unique_credentials","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:53:01 UTC 2025","passed","Sat Apr 19 01:53:59 UTC 2025","","test_pgbouncer_provider","",""
"Build and deploy pgbouncer charm.","48687","test_build_and_deploy","tests.integration","Sat Apr 19 01:41:26 UTC 2025","passed","Sat Apr 19 01:42:15 UTC 2025","","test_charm","",""
"","124715","test_multiple_pgb_can_connect_to_one_backend","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:55:54 UTC 2025","passed","Sat Apr 19 01:57:59 UTC 2025","","test_pgbouncer_provider","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","401999","test_deploy_latest","tests.integration","Sat Apr 19 01:45:30 UTC 2025","passed","Sat Apr 19 01:52:12 UTC 2025","","test_upgrade","",""
"Scale up PGB while TLS is enabled.

    Args:
        ops_test: The ops test framework
    ","109680","test_scale_up_pgb","tests.integration","Sat Apr 19 01:52:23 UTC 2025","passed","Sat Apr 19 01:54:13 UTC 2025","","test_tls","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","311596","test_deploy_stable","tests.integration","Sat Apr 19 01:46:16 UTC 2025","passed","Sat Apr 19 01:51:28 UTC 2025","","test_upgrade_data_integrator","",""
"Check we can read things in readonly.","1020","test_readonly_reads","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:50:13 UTC 2025","passed","Sat Apr 19 01:50:14 UTC 2025","","test_pgbouncer_provider","",""
"Test that there is read-only endpoint in a scaled up cluster.","70172","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:51:51 UTC 2025","passed","Sat Apr 19 01:53:01 UTC 2025","","test_pgbouncer_provider","",""
"","185990","test_upgrade_from_stable","tests.integration","Sat Apr 19 01:51:31 UTC 2025","passed","Sat Apr 19 01:54:37 UTC 2025","","test_upgrade_from_stable","",""
"Check these relations all work when scaling pgbouncer.","152617","test_scaling","tests.integration.relations.pgbouncer_provider","Sat Apr 19 01:57:59 UTC 2025","passed","Sat Apr 19 02:00:31 UTC 2025","","test_pgbouncer_provider","",""
"Tests deploying and relating to the Indico charm.","229437","test_indico_datatabase","tests.integration.relations.pgbouncer_provider","Sat Apr 19 02:02:11 UTC 2025","passed","Sat Apr 19 02:06:00 UTC 2025","","test_pgbouncer_provider","",""
"Test that the pre-upgrade-check action runs successfully.","2299","test_pre_upgrade_check","tests.integration","Sat Apr 19 01:52:12 UTC 2025","passed","Sat Apr 19 01:52:15 UTC 2025","","test_upgrade","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","329585","test_deploy_stable","tests.integration","Sat Apr 19 01:45:59 UTC 2025","passed","Sat Apr 19 01:51:28 UTC 2025","","test_upgrade_from_stable","",""
